Pitcher: 595345 | FF: 3 | SL: 20 | CU: 0 | CH: 0 | FS: 0 | SI: 3 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 663559 | FF: 4 | SL: 7 | CU: 0 | CH: 2 | FS: 0 | SI: 17 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641154 | FF: 22 | SL: 0 | CU: 2 | CH: 12 | FS: 0 | SI: 3 | KC: 0 | FC: 3 | CS: 0 | None: 0 | 
Pitcher: 642152 | FF: 4 | SL: 0 | CU: 5 | CH: 10 | FS: 0 | SI: 17 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642758 | FF: 15 | SL: 17 | CU: 0 | CH: 5 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 489265 | FF: 2 | SL: 11 | CU: 0 | CH: 5 | FS: 0 | SI: 9 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608344 | FF: 25 | SL: 14 | CU: 7 | CH: 9 | FS: 0 | SI: 26 | KC: 0 | FC: 1 | CS: 0 | None: 0 | 
Pitcher: 660896 | FF: 3 | SL: 8 | CU: 0 | CH: 7 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 622251 | FF: 2 | SL: 0 | CU: 3 | CH: 0 | FS: 0 | SI: 6 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 607457 | FF: 26 | SL: 8 | CU: 0 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605130 | FF: 3 | SL: 5 | CU: 4 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 669395 | FF: 15 | SL: 11 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 543883 | FF: 9 | SL: 0 | CU: 0 | CH: 1 | FS: 0 | SI: 0 | KC: 0 | FC: 5 | CS: 0 | None: 0 | 
Pitcher: 606303 | FF: 14 | SL: 2 | CU: 0 | CH: 4 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 573668 | FF: 13 | SL: 0 | CU: 0 | CH: 14 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 663804 | FF: 40 | SL: 15 | CU: 0 | CH: 20 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656212 | FF: 0 | SL: 10 | CU: 2 | CH: 24 | FS: 0 | SI: 18 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656578 | FF: 27 | SL: 2 | CU: 0 | CH: 22 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 596057 | FF: 18 | SL: 5 | CU: 0 | CH: 6 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608718 | FF: 27 | SL: 0 | CU: 0 | CH: 4 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 594311 | FF: 8 | SL: 22 | CU: 0 | CH: 0 | FS: 0 | SI: 20 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
